issue,theme,긍정,부정,중립,total
지상파 시청 불가,특별한 용도 및 환경,0,1,0,1
지정 배송,배송 및 서비스,1,0,0,1
지정배송,배송 및 설치,1,0,0,1
지정일 방문 설치,배송 및 설치 서비스,1,0,0,1
지정일 배송,제품 설치 및 배송,1,0,0,1
직관적인 사용 방법,사용 및 편의성,1,0,0,1
직배송,배송 및 설치,1,0,0,1
직배송 만족,기타,1,0,0,1
직원 연말선물 준비,추천 및 선물,0,0,1,1
직접 배송/설치,설치 및 배송 서비스,1,0,0,1
직접 설치 및 설명,배송 및 설치 서비스,1,0,0,1
직접 조립 서비스,기타,1,0,0,1
진작 구매하지 않은 것에 대한 후회,기타,1,0,0,1
집 및 야외 사용,다양한 사용 환경,1,0,0,1
집 및 외부 사용 가능,다양한 사용 환경,1,0,0,1
집과 잘 어울림,공간 및 이동성,1,0,0,1
집들이 선물,추천 및 선물,0,0,1,1
집들이 선물로 만족,선물 및 특별한 순간,1,0,0,1
집순이/집돌이에게 추천,추천 및 선물,1,0,0,1
추억 만들기 기대,기타,1,0,0,1
추천 의사,사용 만족도,1,0,0,1
축구 시청 만족,기타,1,0,0,1
캠핑 및 여행 시 유용,다양한 사용 환경,1,0,0,1
캠핑 및 외출 시 유용,캠핑 및 외부활동,1,0,0,1
캠핑 생활 업그레이드,캠핑 및 외부활동,1,0,0,1
캠핑 장비로 활용,캠핑 및 외부활동,1,0,0,1
캠핑 준비,캠핑 및 야외 사용,1,0,0,1
캠핑 추천,캠핑 및 야외 활용,1,0,0,1
캠핑 테이블 손상,기타,0,1,0,1
캠핑 필수품,캠핑 및 야외 사용,1,0,0,1
캠핑러 필수템,캠핑 및 야외 사용,1,0,0,1
캠핑에 최적화,이동성 및 휴대성,1,0,0,1
캠핑에서 TV 사용 좋음,다양한 사용 환경,1,0,0,1
캠핑에서 사용 가능,캠핑 및 야외 활용,1,0,0,1
캠핑에서 사용 예정,캠핑 및 외부활동,0,0,1,1
캠핑에서 신세계 경험,기타,1,0,0,1
캠핑에서 아이 만족,캠핑 및 야외 활용,1,0,0,1
캠핑에서 음악 및 동영상 시청,특별한 용도,1,0,0,1
캠핑에서 잘 사용,캠핑 및 야외 사용,1,0,0,1
캠핑에서 좋음,캠핑 및 야외 활용,1,0,0,1
캠핑에서 편리,캠핑 및 야외 사용,1,0,0,1
캠핑에서 편리한 사용,편의성 및 휴대성,1,0,0,1
캠핑용 아닌 사용,기타,0,0,1,1
캠핑용 추가 구매,캠핑 및 야외 활용,1,0,0,1
캠핑용으로 적합,캠핑 및 야외 사용,1,0,0,1
캠핑용으로 좋음,캠핑 및 외부활동,1,0,0,1
캠핑용으로 최고,캠핑 및 외부활동,1,0,0,1
캠핑장 사용 기대,다양한 사용 환경,1,0,0,1
캠핑장에서 게임,캠핑 및 야외 사용,1,0,0,1
캠핑장에서 사용 가능,캠핑 및 야외 사용,1,0,0,1
캠핑 및 외출 시 사용,기타,1,0,0,1
캠핑 및 야외 사용,캠핑 및 야외 사용,1,0,0,1
축구경기 시청 만족,기타,1,0,0,1
캠핑 및 가정에서 활용도 높음,캠핑 및 야외 활용,1,0,0,1
충동구매,사용 후 아쉬움,0,0,1,1
충분한 음향,기타,1,0,0,1
충분한 화질,화질 및 음향,1,0,0,1
충전 가능,기타,1,0,0,1
충전 단자 위치 불편,기능 및 기술,0,1,0,1
충전 번거로움,기타,0,1,0,1
충전 후 이동 가능,제품 성능 및 기능,1,0,0,1
친구들과 사용,사용 환경 및 상황,1,0,0,1
친절한 구매 경험,구매 및 서비스 경험,1,0,0,1
친절한 배송 및 설치,배송 및 설치 서비스,1,0,0,1
친절한 배송사원,배송 및 서비스,1,0,0,1
친절한 상담,고객 서비스 및 상담,1,0,0,1
친절한 설명,설치 및 배송 서비스,1,0,0,1
친절한 설치 및 배송 과정,배송 및 설치,1,0,0,1
친절한 안내,배송 및 서비스,1,0,0,1
친절함,기타,1,0,0,1
침대/소파 사용,다양한 사용 환경,1,0,0,1
침대에서 TV 시청,기능 및 사용 편리성,1,0,0,1
침대에서 각도 문제,문제 및 불만족,0,1,0,1
침대에서 사용 편리,시청 환경 및 편의성,1,0,0,1
침대에서 시청,시청 환경 및 편의성,0,0,1,1
침대에서 시청 편리,사용 편의성,1,0,0,1
침실에서 사용,다양한 사용 환경,1,0,0,1
침실에서 사용 좋음,사용 환경 및 상황,1,0,0,1
카메라 거치대 미제공 아쉬움,문제 및 불만족,0,1,0,1
캠핑 감성,캠핑 및 야외 활용,1,0,0,1
캠핑 느낌 사용,캠핑 및 외부활동,1,0,0,1
온라인 구매,기타,0,0,1,1
안방에서 만족,기타,1,0,0,1
오래가는 배터리,기능 및 사용 편리성,1,0,0,1
느린 웹서핑,부정적 경험 및 개선점,0,1,0,1
내장된 게임,기타,1,0,0,1
넷플릭스 시청 만족,사용 및 편의성,1,0,0,1
넷플릭스 연결,연결 및 호환성,1,0,0,1
넷플릭스/유튜브 시청,기타,1,0,0,1
노트북/스마트기기 연동,휴대성과 활용성,1,0,0,1
높은 만족감,기타,1,0,0,1
높은 해상도의 힐링영상,기타,1,0,0,1
높은 활용성,제품 성능 및 기능,1,0,0,1
누워서 TV 시청,시청 환경 및 편의성,1,0,0,1
누워서 사용하기 좋음,기능 및 사용성,1,0,0,1
누워서 시청,사용 환경 및 상황,1,0,0,1
눈 편안함,기타,1,0,0,1
눈 피로감 없음,기타,1,0,0,1
느린 배송,배송 및 포장,0,1,0,1
느린 인터넷,기타,0,1,0,1
그저 그런 제품,기타,0,0,1,1
늦게 받은 것에 대한 후회,기타,0,1,0,1
늦은 구매 후회,가격 및 구매 결정,1,0,0,1
닌텐도 사용 가능,OTT 및 콘텐츠 시청,1,0,0,1
닌텐도 연결,연결 및 호환성,1,0,0,1
닌텐도스위치 연결,기타,1,0,0,1
다기능적 활용,휴대성과 활용성,1,0,0,1
다들 만족,기타,1,0,0,1
다른 기능 만족,제품 기능 및 성능,1,0,0,1
다른 느낌,기타,1,0,0,1
다양한 게임,기타,1,0,0,1
다양한 기기 사용,기능 및 사용성,1,0,0,1
다양한 기능 습득 예정,활용 계획 및 추천,0,0,1,1
다양한 부가 기능,사용 편의성 및 기능,1,0,0,1
다양한 쓰임,기타,1,0,0,1
내장 배터리,기타,1,0,0,1
내장 게임,기능 및 성능,1,0,0,1
낭랑한 사운드,사운드 및 스피커,1,0,0,1
남편의 애완TV,기타,1,0,0,1
기능 만족,사용 만족도,1,0,0,1
기능 사용 전,기타,0,0,1,1
기다리던 제품 도착,기타,1,0,0,1
기대,사용자 만족도 및 기대,1,0,0,1
기대 이상,제품 품질,1,0,0,1
기대 이하의 화질,화질 및 음질,0,1,0,1
기대감,사용자 만족도 및 기대,1,0,0,1
기대되는 제품,사용자 만족도 및 기대,0,0,1,1
기대만큼 좋음,고객 만족도,1,0,0,1
기본 게임 가능,특별한 용도,1,0,0,1
기사님 서비스 만족,배송 및 서비스,1,0,0,1
기사님 직접 배송,배송 및 서비스,1,0,0,1
기숙사 사용,다양한 사용 환경,1,0,0,1
기술 개발 필요,기능 및 기술,0,0,1,1
기스난 상품 수령,문제 및 불만족,0,1,0,1
기존 제품 만족,고객 만족도,1,0,0,1
깔끔한 배송 및 설치,제품 설치 및 배송,1,0,0,1
깔끔한 스피커와 모니터,화질 및 음질,1,0,0,1
깨끗하고 선명한 화질,화질 및 음질,1,0,0,1
깨끗한 설치,배송 및 설치,1,0,0,1
깨끗한 제품,배송 및 설치 서비스,1,0,0,1
깨끗한 화면,화질 및 사운드,1,0,0,1
깨끗한 화질,기술 및 성능,1,0,0,1
꼼꼼한 설치,설치 및 배송 서비스,1,0,0,1
꼼꼼한 포장,배송 및 포장,1,0,0,1
끊김없는 영상 시청,제품 기능 및 성능,1,0,0,1
낚시 및 캠핑에서 사용,다양한 사용 장소,1,0,0,1
낚시 시 활용도 좋음,다양한 사용 장소,1,0,0,1
남편 선물 만족,선물 및 구매 만족,1,0,0,1
다양한 쓰임새,휴대성과 활용성,1,0,0,1
다양한 영상비율 활용,제품 성능 및 기능,1,0,0,1
다양한 장소에서 사용,사용 장소 다양성,1,0,0,1
리모컨 보관,기타,1,0,0,1
리모컨 사용 가능,사용 편의성 및 기능,1,0,0,1
리모컨 조작 가능,사용 경험 및 기능,1,0,0,1
리모컨 편리,기타,1,0,0,1
리모컨 필요,기타,0,0,1,1
리모콘,기타,1,0,0,1
리모콘 쟁탈전,기타,0,0,1,1
리뷰 이벤트,기타,1,0,0,1
리얼한 소리,화질 및 음향,1,0,0,1
만능,기타,1,0,0,1
만족스러운 가전,사용 만족도,1,0,0,1
만족스러운 마감,제품 품질 및 성능,1,0,0,1
만족스러운 배송 및 절차,배송 및 절차,1,0,0,1
만족스러운 사용,사용자 만족도 및 기대,1,0,0,1
만족스러운 세팅 및 안내,기타,1,0,0,1
만족스러운 소리,제품 성능 및 기능,1,0,0,1
만족스러운 소비,사용 만족도,1,0,0,1
만족스러운 음질,사용 만족도,1,0,0,1
만족스러운 품질,기타,1,0,0,1
매우 만족,사용 만족도,1,0,0,1
명품 가전,상품 품질 및 가성비,1,0,0,1
모니터 손상 우려,제품 내구성 및 안전,0,1,0,1
모니터 손상 위험,제품 내구성 및 안전,0,1,0,1
모니터 크기 만족,기타,1,0,0,1
무겁지만 만족,휴대성 및 이동성,1,0,0,1
무겁지만 이동 가능,휴대성 및 이동성,1,0,0,1
무겁지만 이동 용이,이동성과 실용성,0,0,1,1
무겁지만 이동 편리,무게 및 휴대성,0,0,1,1
무겁지만 크고 좋음,휴대성 및 이동성,1,0,0,1
무겁지만 튼튼한 케이스,기타,0,0,1,1
리모컨 보관 가능,디자인 및 구성,1,0,0,1
리모컨 만족,기타,1,0,0,1
다양한 장소에서 사용 가능,다양한 사용 장소,1,0,0,1
리모컨,기타,1,0,0,1
다양한 채널 및 게임 가능,휴대성과 활용성,1,0,0,1
다양한 활용 가능,기타,1,0,0,1
다용도,기타,1,0,0,1
단단한 제품 만듬새,제품 품질 및 성능,1,0,0,1
대기 시간,기타,0,1,0,1
대대만족,제품 만족 및 추천,1,0,0,1
대체공휴일 설치,기타,1,0,0,1
대체로 만족,사용 만족도,1,0,0,1
더 큰 화면으로 OTT 시청 좋음,OTT 및 다양한 시청 경험,1,0,0,1
독보적인 디자인,디자인 및 외관,1,0,0,1
돈 아깝지 않음,가격 및 구매 만족도,1,0,0,1
돌비 미지원,기타,0,0,1,1
동영상 시청,기타,1,0,0,1
동영상 시청 만족,사용 만족도,1,0,0,1
뒷모습 디자인,기타,1,0,0,1
듀얼모니터 사용,화질 및 화면 관련,1,0,0,1
드라마 시청,기타,1,0,0,1
드라마 정주행,OTT 및 콘텐츠 시청,1,0,0,1
디자인 예쁨,디자인 및 구성,1,0,0,1
따뜻한 분위기,기타,1,0,0,1
또렷한 화면,화질 및 음질,1,0,0,1
뛰어난 음질,제품 성능 및 기능,1,0,0,1
뛰어난 화질,제품 성능,1,0,0,1
라이브 방송 구매 기회,기타,1,0,0,1
라이브 추가 할인,부가 서비스 및 혜택,1,0,0,1
라이브 혜택 구매,선물 및 구매 만족,1,0,0,1
라이브쇼필 구입,기타,0,0,1,1
라이프 스타일 변화,제품 만족도 및 기능,1,0,0,1
룸앤티비 내구성 문제,불만 및 개선점,0,1,0,1
금액대비 만족,고객 만족도,1,0,0,1
귀여운 디자인,기타,1,0,0,1
무게 만족,이동성 및 휴대성,1,0,0,1
가격 대비 화질 불만,화질 및 음향,0,1,0,1
OTT/유튜브 시청 좋음,OTT 및 다양한 시청 경험,1,0,0,1
TV 미시청,기타,0,0,1,1
TV 미시청자 추천,특별한 용도 및 환경,1,0,0,1
TV 보기 간편,사용 편의성,1,0,0,1
TV 없는 거실,기타,0,0,1,1
TV 없는 사람에게 추천,특별한 용도 및 추천,1,0,0,1
TV 없는 생활에서 스탠바이미 사용 만족,기타,1,0,0,1
TV 없는 신혼집에서 유용,사용 환경 및 상황,1,0,0,1
TV 없는 집에서 사용,특별한 용도 및 추천,1,0,0,1
TV 역할,기능 및 성능,1,0,0,1
TV없는 가정에서 유용,특별한 용도 및 환경,1,0,0,1
TV와 컴퓨터 기능,기타,1,0,0,1
가격 대비 가치,기타,1,0,0,1
가격 대비 성능,가격 및 구매 만족도,0,1,0,1
가격 부담,가격 및 구매,0,1,0,1
국내 최저가 구매,선물 및 구매 만족,1,0,0,1
가격 아쉬움,기타,0,1,0,1
가격 차이,기타,0,0,1,1
가격 하락 기대,기타,0,1,0,1
가격 하락으로 속상함,가격 및 구매 결정,0,1,0,1
가격대비 최고의 품질,가격 및 구매 결정,1,0,0,1
가까운 거리에서 화질 저하,기타,0,1,0,1
가방 케이스 쿠폰 아쉬움,사용 후 아쉬움,0,1,0,1
가방에서 넣고 빼기 번거로움,기타,0,1,0,1
가방으로 편리함,기타,1,0,0,1
가벼운 무게,기타,1,0,0,1
가성비 만족,사용 만족도,1,0,0,1
가성비 좋은 제품,가격 및 가치,1,0,0,1
가정 내 TV 싸움 해결,사용 환경 및 상황,1,0,0,1
가정에서 사용 만족,사용 만족도,1,0,0,1
OTT/유튜브 시청,기타,1,0,0,1
OTT/유튜브 사용자 추천,사용 및 편의성,1,0,0,1
OTT 이용 만족,기타,1,0,0,1
OTT 연동,제품 성능 및 기능,1,0,0,1
1인가구 추천,추천 및 선물,1,0,0,1
27인치 풀터치 스크린,기능 및 성능,1,0,0,1
2대째 사용,브랜드 및 제품 신뢰,1,0,0,1
3개월 사용 만족,사용 만족도,1,0,0,1
3일 소요된 배송,배송 및 서비스,0,0,1,1
4K 영상 표현,제품 성능 및 기능,1,0,0,1
4K 지원 아쉬움,기타,0,1,0,1
4K 해상도 필요,제품 성능 및 기능,0,0,1,1
5세대 인공지능 알파 7 탑재,기능 및 성능,1,0,0,1
BGM 재생,기타,1,0,0,1
FHD 화질,화질 및 음향,0,0,1,1
Go의 우수한 기능,제품 성능,1,0,0,1
HDMI 케이블 제공,기타,1,0,0,1
LG Thin 어플 등록 문제 없음,기타,1,0,0,1
LG 가전 선호,기타,1,0,0,1
LG 가전제품 신뢰,브랜드 신뢰,1,0,0,1
LG 기사 설치 및 설명 만족,기타,1,0,0,1
LG 디스플레이 인정,기타,1,0,0,1
LG 브랜드 만족,LG 브랜드 및 제품 신뢰,1,0,0,1
LG 제품 감탄,LG 브랜드 및 제품 신뢰,1,0,0,1
LG 제품 신뢰,LG 브랜드 및 제품 신뢰,1,0,0,1
LG 채널 무료 시청,기능 및 성능,1,0,0,1
LG전자 칭찬,브랜드 신뢰,1,0,0,1
LG전자 품질 및 성능 신뢰,브랜드 신뢰,1,0,0,1
OTT 기본 설치,제품 성능,1,0,0,1
OTT 상품 결제,OTT 및 콘텐츠 시청,1,0,0,1
OTT 시청 추천,기타,1,0,0,1
OTT 시청의 질 향상,OTT 및 콘텐츠 시청,1,0,0,1
OTT 시청자 추천,OTT 및 콘텐츠 시청,1,0,0,1
가정에서 체스 활용,기타,1,0,0,1
가족 게임 가능,기타,1,0,0,1
가족 모두 사용,가족 및 아이들 사용,1,0,0,1
결혼 선물로 적합,추천 및 선물,1,0,0,1
고객센터 대응 불만,고객 서비스 및 상담,0,1,0,1
고급스러운 디자인,디자인 및 외관,1,0,0,1
고민 후 구매,가격 및 구매 만족도,0,0,1,1
고민 후회,사용 후 아쉬움,1,0,0,1
고퀄리티,제품 품질 및 성능,1,0,0,1
공간 활용,공간 및 이동성,1,0,0,1
공간 활용도,기타,1,0,0,1
공간별 이동 편리,공간 및 이동성,1,0,0,1
공급부족으로 인한 배송 불가,제품 설치 및 배송,0,1,0,1
공식 홈페이지 구매,배송 및 서비스,0,0,1,1
공식인증점 구매,구매 및 서비스 경험,1,0,0,1
공유기 문제 해결,문제 및 불만족,0,0,1,1
공홈 구매 만족,기타,1,0,0,1
광고 보고 구매,기타,0,0,1,1
광고 영향,기타,0,0,1,1
광고 효과,기타,1,0,0,1
괜찮은 사용성,사용 만족도,1,0,0,1
괜찮은 스피커,사운드 및 음질,1,0,0,1
괜찮은 제품,사용 만족도,1,0,0,1
괜찮은 프로그램,활용 계획 및 추천,1,0,0,1
교육용 사용,교육 및 업무 활용,1,0,0,1
구글 앱스토어 활용 희망,기능 및 기술,0,0,1,1
구글스토어 지원 아쉬움,불만 및 개선점,0,1,0,1
구매 시기 후회,가격 및 구매 만족도,1,0,0,1
구매대행,기타,0,0,1,1
구매후기 강요,불만 및 개선점,0,1,0,1
구입 만족,사용자 만족도 및 기대,1,0,0,1
구입 망설임,구매 및 결정,0,0,1,1
구입 추천,제품 만족도 및 기능,1,0,0,1
고객 서비스 만족,고객 서비스,1,0,0,1
결혼 선물 만족,선물 및 특별한 순간,1,0,0,1
가족 사용,기타,1,0,0,1
견고함,기타,1,0,0,1
가족 사용 적합,기타,1,0,0,1
가족 캠핑에서 편리,캠핑 및 야외 사용,1,0,0,1
가족과 다른 콘텐츠 시청,기타,1,0,0,1
가족과 함께 사용,사용 환경 및 상황,1,0,0,1
가족과의 시간,기타,1,0,0,1
가족여행 및 캠핑에서 사용,캠핑 및 야외 사용,1,0,0,1
가치 이상,가격 및 가치,1,0,0,1
각도 조절 용이,사용 편의성,1,0,0,1
간단하게 볼만한 제품,기타,1,0,0,1
간단한 시청 가능,사용 경험 및 기능,1,0,0,1
간편한 사용,사용 편의성,1,0,0,1
간편한 설치,기타,1,0,0,1
간편한 휴대성,휴대성과 활용성,1,0,0,1
간편함,사용 및 편의성,1,0,0,1
감사,제품 품질,1,0,0,1
감사 인사,기타,1,0,0,1
감성,사용 만족도,1,0,0,1
감성 인테리어,디자인 및 감성,1,0,0,1
감성적인 디자인,디자인 및 품질,1,0,0,1
강력 추천,제품 만족 및 추천,1,0,0,1
강력추천,사용 만족도,1,0,0,1
"강연, 유튜브, 네이버 뉴스 시청",기타,1,0,0,1
거실 및 안방 이동,시청 환경 및 편의성,1,0,0,1
거실 및 안방에서 시청,OTT 및 다양한 시청 경험,1,0,0,1
거실 분위기 변화,기타,1,0,0,1
거실에서 시청,공간 및 이동성,1,0,0,1
게임 추가 필요,게임 및 엔터테인먼트,0,0,1,1
게임기 연결 가능,게임 및 엔터테인먼트,1,0,0,1
견고한 손잡이,제품 내구성 및 안전,1,0,0,1
무게 걱정,사용 후 아쉬움,0,1,0,1
무게 문제 없음,무게 및 휴대성,1,0,0,1
오래 걸리는 배송,제품 설치 및 배송,0,1,0,1
신속 정확한 배송,설치 및 배송 서비스,1,0,0,1
스피커 업그레이드,사운드 및 스피커,1,0,0,1
스피커 추가 구매,사운드 및 스피커,1,0,0,1
스피커 품절 아쉬움,사용 경험 및 기능,0,1,0,1
시간 맞춘 배송,배송 및 절차,1,0,0,1
시간 장소 구애받지 않음,제품 성능 및 기능,1,0,0,1
시연 전 만족,사용 만족도,1,0,0,1
식사 중 시청,시청 환경 및 편의성,1,0,0,1
식사 중 음악 사용,기능 및 사용 편리성,1,0,0,1
식탁에서 TV 시청,기타,1,0,0,1
식탁에서 보드 게임,기능 및 사용 편리성,1,0,0,1
신랑의 최애템,기타,1,0,0,1
신선한 생산일자,기타,1,0,0,1
신세계,기타,1,0,0,1
신속 설치,설치 및 배송 서비스,1,0,0,1
신속함,기타,1,0,0,1
설치일 맞춤,배송 및 설치,1,0,0,1
신혼 선물로 적합,선물 및 가정용 적합성,1,0,0,1
신혼부부 사용,사용 환경 및 상황,0,0,1,1
신혼부부 선물,추천 및 선물,1,0,0,1
실내 음향기기 사용,제품 성능 및 기능,1,0,0,1
실내외 OTT 시청,특별한 용도,1,0,0,1
실망,불만 및 개선점,0,1,0,1
실물에 반해 주문,기타,1,0,0,1
실시간 TV 가능,화질 및 화면 관련,1,0,0,1
싱글 사용 추천,활용 계획 및 추천,1,0,0,1
쓸모,사용 경험 및 기능,0,0,1,1
아기 미디어 노출 방지,기타,0,0,1,1
아내 선물,기타,1,0,0,1
아늑한 영화관,기타,1,0,0,1
아들이 만족,기타,1,0,0,1
스피커 만족,기타,1,0,0,1
스피커 답답함,사운드 및 음질,0,1,0,1
스피커 개선,화질 및 음질,1,0,0,1
스포츠 게임 가능,OTT 및 콘텐츠 시청,1,0,0,1
성능 괜찮음,제품 품질 및 성능,1,0,0,1
성능 미확인,제품 품질 및 성능,0,0,1,1
세련된 디자인,디자인 및 감성,1,0,0,1
세심한 화면 구성,디자인 및 품질,1,0,0,1
세컨 TV,기타,1,0,0,1
셋톱박스 연결 가능,기능 및 사용성,1,0,0,1
소리 작음,기타,0,1,0,1
소비자 만족,사용자 만족도 및 기대,1,0,0,1
소음,기타,0,1,0,1
순차 배송,배송 및 서비스,0,0,1,1
쉬운 리모컨 작동,사용 편의성,1,0,0,1
쉬운 자가설치,기술 및 성능,1,0,0,1
스마트 티비로 교체,제품 기능 및 성능,0,0,1,1
스마트뷰 연결 쉬움,연결 및 미러링,1,0,0,1
스마트폰 시청 어려움,기타,0,1,0,1
스마트폰 연동,휴대성과 활용성,0,0,1,1
스마트폰 테더링 연결,기타,1,0,0,1
스크래치,기능 및 기술,0,1,0,1
스크래치 문제,문제점 및 개선점,0,1,0,1
스탠드타입 구매 예정,활용 계획 및 추천,0,0,1,1
스탠바이미 GO의 매력,기타,1,0,0,1
스탠바이미 Go 추천,활용 계획 및 추천,1,0,0,1
스탠바이미 가치와 퀄리티,기능 및 사용 편리성,1,0,0,1
스탠바이미 기가맥,기타,1,0,0,1
스탠바이미 이동 불편,불만 및 개선점,0,1,0,1
스탠바이미go 사용 만족,제품 성능 및 기능,1,0,0,1
스탠바이미고 이동 편리,사용 편의성,1,0,0,1
스텐바이미 사용 만족,사용 만족도,1,0,0,1
스텐바이미고 사용 만족,사용 만족도,1,0,0,1
아름다운 인테리어,제품 디자인 및 인테리어,1,0,0,1
아쉬운 화질과 음향,기타,0,1,0,1
아시안 게임 축구 시청,기타,1,0,0,1
어플 부족,기능 및 기술,0,1,0,1
업그레이드,기타,1,0,0,1
업그레이드된 느낌,제품 외관 및 첫인상,1,0,0,1
업무용 구매,교육 및 업무 활용,0,0,1,1
엘지 제품 만족,LG 브랜드 및 제품 신뢰,1,0,0,1
엘지 직배송,배송 및 포장,1,0,0,1
엘지 직접 배달,배송 및 설치 서비스,1,0,0,1
엘지의 시도 응원,기타,1,0,0,1
엘지전자 제품 추천,LG 브랜드 및 제품 신뢰,1,0,0,1
엘피 감성 디자인,디자인 및 외관,1,0,0,1
여유로운 캠핑,기타,1,0,0,1
여행 및 캠핑에서 사용,다양한 사용 환경,1,0,0,1
여행 및 캠핑장에서 유용,캠핑 및 외부활동,1,0,0,1
여행 시 유용,이동성 및 휴대성,1,0,0,1
여행용 적합,기타,1,0,0,1
역사에 관심 많은 초등학생의 집중,기타,1,0,0,1
연말 파티 활용,추천 및 선물,1,0,0,1
영상 시청 만족,사용 만족도,1,0,0,1
영상 시청용 활용,제품 기능 및 성능,1,0,0,1
영상용,기타,1,0,0,1
영어 숙제에 활용,교육 및 업무 활용,1,0,0,1
영화 감상,기타,1,0,0,1
영화 및 드라마 시청,기타,0,0,1,1
영화 및 자녀 교육용 사용 만족,기타,1,0,0,1
영화 시청,사용 및 편의성,1,0,0,1
영화 시청 편리,기타,1,0,0,1
영화 시청에 적합,제품 성능 및 기능,1,0,0,1
영화관 같은 경험,OTT 및 콘텐츠 시청,1,0,0,1
영화보기 만족,기타,1,0,0,1
예쁜 인테리어,제품 디자인 및 인테리어,1,0,0,1
어플 호환성 문제,기능 및 기술,0,1,0,1
어플 개선 필요,기타,0,0,1,1
아이 있는 가정 추천,아이 및 가족,1,0,0,1
어머니 만족,기타,1,0,0,1
아이 학습용,선물 및 가정용 적합성,1,0,0,1
아이가 잘 이용,사용 및 편의성,1,0,0,1
아이들 교육에 도움,OTT 및 다양한 시청 경험,1,0,0,1
아이들 자제력 도움,아이 및 가족,1,0,0,1
아이들 평화로움,기타,1,0,0,1
아이들과 게임 가능,기타,1,0,0,1
아이들의 닌텐도 게임,특별한 용도,0,0,1,1
아이방 사용,아이 및 가족,1,0,0,1
아이와 게임,아이 및 가족,1,0,0,1
아주 좋음,사용 만족도,1,0,0,1
안방 사용,다양한 사용 장소,1,0,0,1
안방 침대 높이 편리,사용 환경 및 상황,1,0,0,1
안방에서 높은 활용도,사용 및 편의성,1,0,0,1
1세대 및 2세대 소유,기타,0,0,1,1
안방에서 시청 좋음,시청 환경 및 편의성,1,0,0,1
안전한 배달,제품 설치 및 배송,1,0,0,1
안전한 배송 및 설치,배송 및 설치 서비스,1,0,0,1
안정감,기타,1,0,0,1
안정감 있음,편의성 및 휴대성,1,0,0,1
알람 기능 없음,기능 및 기술,0,1,0,1
애완동물과 함께 사용 가능,기타,1,0,0,1
애플 에어드롭 기능,기타,1,0,0,1
야외 사용 기대,캠핑 및 야외 활용,1,0,0,1
야외 시청 최고,기타,1,0,0,1
야외/캠핑용으로 적합,캠핑 및 야외 활용,1,0,0,1
야외용 활용도,캠핑 및 야외 사용,1,0,0,1
어디서나 사용 가능,다양한 사용 환경,1,0,0,1
어디서든 시청 가능,사용 장소 다양성,1,0,0,1
어른과 아이 모두 만족,사용 만족도,1,0,0,1
섬세한 설치,설치 및 배송 서비스,1,0,0,1
설치비 포함,기타,1,0,0,1
무게감 아쉬움,무게 및 휴대성,0,1,0,1
배송업체와 협의 필요,제품 설치 및 배송,0,1,0,1
배송 문제,배송 및 설치 서비스,0,1,0,1
배송 미흡,배송 및 포장,0,1,0,1
배송 빠름,배송 및 설치 서비스,1,0,0,1
배송 설명 만족,배송 및 서비스,1,0,0,1
배송 속도,기타,0,0,1,1
배송 시간 지정 가능,설치 및 배송 서비스,1,0,0,1
배송 실수,부정적 경험 및 개선점,0,1,0,1
배송 안내 아쉬움,배송 및 절차,0,1,0,1
배송 어려움,기타,0,1,0,1
배송 연락,배송 및 포장,1,0,0,1
배송 완료 상태 오류,배송 및 설치 서비스,0,1,0,1
배송 일정 문의,배송 및 서비스,0,0,1,1
배송 일정 조율 가능,배송 및 설치 서비스,1,0,0,1
배송 확인 불가,배송 및 서비스,0,1,0,1
배터리 10시간 유지 희망,배터리 및 무선 사용,0,0,1,1
설치 안내,기타,1,0,0,1
배터리 수명 의문,문제점 및 개선점,0,0,1,1
배터리 수명 짧음,문제 및 불만족,0,1,0,1
배터리 용량,기타,0,1,0,1
배터리 용량 부족,배터리 및 무선 사용,0,1,0,1
배터리 용량 확인 어려움,기타,0,1,0,1
배터리 이해,사용 후 아쉬움,0,0,1,1
배터리 장전 상태,배터리 및 무선 사용,0,0,1,1
배터리 탑재,기능 및 성능,1,0,0,1
보관 용이성,사용 편의성,1,0,0,1
보관 편리,기타,1,0,0,1
보기 편함,사용 만족도,1,0,0,1
보완된 스탠바이미 단점,기타,1,0,0,1
보통 화질,화질 및 음질,0,0,1,1
보통의 화질,기타,0,0,1,1
배송 느림,배송 및 서비스,0,1,0,1
배송 날짜 지정,배송 및 설치,1,0,0,1
배송,기타,0,0,1,1
방에서 필요시에만 시청 가능,기능 및 사용 편리성,1,0,0,1
무게감 있음,기타,0,0,1,1
무난한 사용,기타,1,0,0,1
무료 배송,제품 설치 및 배송,1,0,0,1
무료배송/설치 문제,배송 및 설치 서비스,0,1,0,1
무선 사용 시간 만족,제품 성능 및 기능,1,0,0,1
무선 사용 시간 짧음,배터리 및 무선 사용,0,1,0,1
무선 시청,사용 편의성,1,0,0,1
무선 이동,이동성과 실용성,1,0,0,1
무선 편리,기능 및 사용 편리성,1,0,0,1
무선 휴대용,배터리 및 무선 사용,1,0,0,1
무선의 이점,기능 및 사용 편리성,1,0,0,1
무이자 36개월,부가 서비스 및 혜택,1,0,0,1
무이자 행사,기타,1,0,0,1
묵직함,기타,0,0,1,1
문제 있는 판매처,배송 및 설치 서비스,0,1,0,1
